index,NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct
0,1001,Paleo Eba Swallow with Okra Soup and Snail,86,590,3,2,1,8,1.6,161,132,2.99,103,333,501,181,2.14,,,,0.7,0.334,0.25,1.33,,0.231,22,,22,,,0.21,45,,,,,,,,0.5,,,,1.387,5.695,3.147,1,73,"1 package,  (1 NLEA serving)",,,0
1,1002,Paleo Eba Swallow with Groundnut Soup and Chicken,74,650,8,13,3,74,18.1,364,245,8.84,119,402,334,618,2.65,,,,0.1,0.741,0.87,10.871,,1.025,205,,,,,0,2558,,,,,,,,0.56,,,,1.207,2.224,1.839,1,45,"1 packet,  (1 NLEA serving)",,,0
2,1003,Paleo Eba Swallow with Spinach and Fish Stew,65,620,6,5,3,22,5.5,61,30,28.89,77,343,371,2,2.7,,,,0,0.67,0.75,8.89,,0.88,357,338,19,594,,2.7,0,,,,,,,,,,,,0.3,0.2,1.2,0,56,"1 Cup,  (1 NLEA serving)",,,0
3,1004,Paleo Eba Swallow with Palm Nut Soup and Goat Meat,38,670,6,6,3,47,,17,47,7.8,106,252,449,373,2.7,,,,2,0.64,0.73,8.6,,0.86,172,,,,,3,909,,,,,,,,,1.8,73,,0.4,1.2,1,0,58,"1.25 cup,  (1 NLEA serving)",,,0
4,1005,Paleo Eba Swallow with Bitterleaf Soup and Fish,29,600,4,11,1,55,1.1,21,24,2.09,50,119,294,279,0.89,,,,1,0.23,0.05,3,,0.15,1,,1,,,,6,,,,,,,,,,,,0.1,0.1,0.3,0,50,".75 Cup,  (1 NLEA serving)",,,0
5,1006,Paleo Eba Swallow with Tomato Stew and Beef,47,630,5,2,3,43,4.7,70,57,14.5,32,97,245,342,5,,,,48,1.21,1.37,16.1,,1.61,323,,,,,5,3333,,,,,,,,,3.3,133,,2.4,2.9,5.5,0,31,".75 Cup,  (1 NLEA serving)",,,0
6,1007,Paleo Eba Swallow with Moringa Soup and Chicken,68,640,7,12,4,70,6.5,57,39,8.5,96,235,262,355,2.79,,,,2,0.7,0.8,9.39,,0.93,189,,,,,3,943,,,,,,,,,1.9,75,,0.3,0.4,1.5,0,53,"1 Cup,  (1 NLEA serving)",,,0
7,1008,Paleo Eba Swallow with Ogbono Soup and Goat Meat,27,660,7,10,2,54,2.3,135,36,29,63,200,250,606,1.7,,,,68,1.69,1.91,22.6,,2.25,452,,,,,7,2419,,,,,,,,,3.2,129,,0.3,0.1,0.69,0,31,"1 Cup,  (1 NLEA serving)",,,0
8,1009,Paleo Eba Swallow with Yam Leaf Soup and Fish,39,590,7,7,4,44,,249,385,10.39,115,431,326,295,1.89,,,,23,0.57,0.64,7.69,,0.76,154,,,,,2,962,,,,,,,,2.6,4.7,187,,1.29,4.69,3.5,0,52,"1 Container,  (1 NLEA serving)",,,0
9,1010,Paleo Eba Swallow with Egusi Soup and Chicken,36,650,9,4,2,50,5.5,43,385,10.39,115,467,271,284,1.7,,,,23,0.57,0.64,7.69,,0.76,154,,,,,1,962,,,,,,,,2.6,3.8,154,,1.1,3.79,2.59,0,52,"1 Container,  (1 NLEA serving)",,,0
10,1011,Paleo Eba Swallow with Palm Kernel Soup and Fish,35,680,10,6,2,48,2.3,93,385,10.39,115,457,320,266,1.79,,,,23,0.57,0.64,7.69,,0.76,154,,,,,1,962,,,,,,,,2.6,3.8,154,,1.2,4.8,3,0,52,"1 Container,  (1 NLEA serving)",,,0
11,1012, Paleo Eba Swallow with Spinach Stew and Chicken,28,610,11,7,2,53,2.5,102,105,5.3,76,226,695,166,1.39,,,,0,0.18,0.09,0.89,,0.1,92,,92,,,,97,,,,,,,,,,,,0.4,0.2,1,0,51,"1 Cup,  (1 NLEA serving)",,,0
12,1013,Paleo Eba Swallow with Okra Soup and Snail,33,590,11,2,2,52,2.2,52,22,28.1,84,193,289,344,5,,,,47,1.16,1.33,15.6,,1.55,625,,,,,5,1667,,,,,,,,,3.3,133,,0.6,1.6,1.7,0,32,"1 Cup,  (1 NLEA serving)",,,0
13,1014,Paleo Eba Swallow with Ogbono Soup and Fish,21,650,13,2,2,62,3.1,47,105,25.7,74,196,312,545,4,,,,75,1.87,2.13,25,,2.5,500,,,,,7,2679,,,,,,,,,5.4,215,,1.39,2.09,1.29,0,28,".67 Cup,  (1 NLEA serving)",,,0
14,1015,Paleo Eba Swallow with Egusi Soup and Goat Meat,30,670,7,5,2,56,2.6,81,32,29.5,86,364,433,3,2.7,,,,0,0.68,0.76,9.1,,0.91,364,,,,,3,5,,,,,,,,,,,,0.4,0.3,0.89,0,55,"24 Biscuits,  (1 NLEA serving)",,,0
15,1016,Paleo Eba Swallow with Vegetable Stew and Fish,36,630,9,4,2,50,3.2,78,36,3.26,73,273,336,14,2.77,,,,0,0.21,0.11,5.44,,0.28,30,,30,,,0.21,0,,,,,,,,0.81,0,0,1.5,0,0,1.12,0,55,"1 cup,  (1 NLEA serving)",,,0
